STATION,WCODE,TMAX,TMIN,ELEVATION
SANGFMKM,FMKM,17.5,74.25,740
SATAFTZT,FTZT,17.5,74.25,740
SANGJEIF,JEIF,17.5,74.5,648
SATAADWU,ADWU,17.5,74.5,648
SANGLRZB,LRZB,17.5,74.75,648
SATAORAP,ORAP,17.5,74.75,648
SANGXGDA,XGDA,17.5,75,648
SATAGJZF,GJZF,17.5,75,648
SOLANPLV,NPLV,17.5,75,648
SOLAHTDE,HTDE,17.5,75.25,648
SOLALAHY,LAHY,17.5,75.5,489
SOLAQMYG,QMYG,17.5,75.75,392
SOLAHRSR,HRSR,17.5,76,392
SOLAKBSX,KBSX,17.5,76.25,392
SOLAJSFT,JSFT,17.5,76.5,481
SATADIHE,DIHE,17.75,73.5,266
SATALDLF,LDLF,17.75,73.75,251
SATATFZE,TFZE,17.75,74,266
SATAXDDI,XDDI,17.75,74.25,740
SATAVQKV,VQKV,17.75,74.5,740
SOLAUXQC,UXQC,17.75,74.5,740
SATAVMTO,VMTO,17.75,74.75,740
SOLAUCDB,UCDB,17.75,74.75,740
SANGPNPM,PNPM,17.75,75,740
SATAWVMO,WVMO,17.75,75,740
SOLAHQRR,HQRR,17.75,75,740
SOLAZPTN,ZPTN,17.75,75.25,648
SOLAMRSZ,MRSZ,17.75,75.5,489
OSMAFAMX,FAMX,17.75,75.75,489
SOLAWTYC,WTYC,17.75,75.75,489
OSMADCSH,DCSH,17.75,76,544
SOLAKNBF,KNBF,17.75,76,544
OSMAXLDG,XLDG,17.75,76.25,544
SOLAEDUL,EDUL,17.75,76.25,544
OSMAOFTJ,OFTJ,17.75,76.5,544
SOLAFLEX,FLEX,17.75,76.5,544
LATUOLMG,OLMG,17.75,76.75,481
OSMANFVO,NFVO,17.75,76.75,481
PUNEICQT,ICQT,18,73.5,251
SATAYLKZ,YLKZ,18,73.5,251
PUNEPLYO,PLYO,18,73.75,571
SATADSVE,DSVE,18,73.75,571
PUNEICRC,ICRC,18,74,571
SATAMASM,MASM,18,74,571
PUNERFNP,RFNP,18,74.25,571
SATAVESE,VESE,18,74.25,571
PUNELUCZ,LUCZ,18,74.5,571
SATAFFXF,FFXF,18,74.5,571
PUNEQJLA,QJLA,18,74.75,571
SATARHSX,RHSX,18,74.75,571
SOLAKNMA,KNMA,18,74.75,571
PUNEPHYR,PHYR,18,75,571
SOLAKSFA,KSFA,18,75,571
PUNEZOTC,ZOTC,18,75.25,571
SOLATJSQ,TJSQ,18,75.25,571
SOLAXAKV,XAKV,18,75.5,571
OSMASGUV,SGUV,18,75.75,489
SOLATBPQ,TBPQ,18,75.75,489
OSMAUUHO,UUHO,18,76,544
SOLAOYYG,OYYG,18,76,544
LATUOGXF,OGXF,18,76.25,544
OSMAKOVO,KOVO,18,76.25,544
LATURPFV,RPFV,18,76.5,588
OSMAHMWG,HMWG,18,76.5,588
LATUOYUX,OYUX,18,76.75,588
OSMAEVCZ,EVCZ,18,76.75,588
LATUSTPO,STPO,18,77,559
PUNEQDLV,QDLV,18.25,73.5,251
PUNEODCC,ODCC,18.25,73.75,571
PUNEBTUE,BTUE,18.25,74,571
SATAECWM,ECWM,18.25,74,571
PUNEHVSH,HVSH,18.25,74.25,571
SATAPGPA,PGPA,18.25,74.25,571
PUNEWIYW,WIYW,18.25,74.5,571
PUNELMAZ,LMAZ,18.25,74.75,571
SOLABURF,BURF,18.25,74.75,571
PUNEOPYR,OPYR,18.25,75,603
SOLAEYVT,EYVT,18.25,75,603
OSMASGVD,SGVD,18.25,75.25,603
SOLAJRUY,JRUY,18.25,75.25,603
OSMAIOOM,IOOM,18.25,75.5,544
SOLAJJZU,JJZU,18.25,75.5,544
OSMAOAEM,OAEM,18.25,75.75,544
SOLACBLH,CBLH,18.25,75.75,544
OSMAKEFS,KEFS,18.25,76,544
SOLAXOMI,XOMI,18.25,76,544
LATUOPIC,OPIC,18.25,76.25,544
OSMAUMEI,UMEI,18.25,76.25,544
LATUUEBX,UEBX,18.25,76.5,588
LATUTPPE,TPPE,18.25,76.75,588
LATUDNRA,DNRA,18.25,77,588
LATUHVSR,HVSR,18.25,77.25,559
NANDONDH,ONDH,18.25,77.25,559
NANDCYJH,CYJH,18.25,77.5,559
PUNEAAZS,AAZS,18.5,73.25,251
PUNENUQM,NUQM,18.5,73.5,571
PUNEMUSV,MUSV,18.5,73.75,571
PUNEUAME,UAME,18.5,74,571
PUNEMAYT,MAYT,18.5,74.25,571
PUNEKQQG,KQQG,18.5,74.5,571
PUNEKMUP,KMUP,18.5,74.75,603
SOLAVHBB,VHBB,18.5,75,603
OSMAZJNY,ZJNY,18.5,75.25,603
SOLAFLQU,FLQU,18.5,75.25,603
OSMASIPN,SIPN,18.5,75.5,603
OSMAEDPC,EDPC,18.5,75.75,603
SOLACLSR,CLSR,18.5,75.75,603
BIDOGFX,OGFX,18.5,76,544
OSMAFCVZ,FCVZ,18.5,76,544
BIDOBLA,OBLA,18.5,76.25,546
LATUAAEP,AAEP,18.5,76.25,546
OSMACCEX,CCEX,18.5,76.25,546
BIDYEUS,YEUS,18.5,76.5,546
LATUQQVB,QQVB,18.5,76.5,546
LATUDLWE,DLWE,18.5,76.75,546
LATUZSSO,ZSSO,18.5,77,588
LATULGHW,LGHW,18.5,77.25,588
NANDNJPR,NJPR,18.5,77.25,588
NANDOONA,OONA,18.5,77.5,559
NANDEDJQ,EDJQ,18.5,77.75,559
PUNEIRYD,IRYD,18.75,73.25,251
PUNEUHKU,UHKU,18.75,73.5,571
PUNEIMCB,IMCB,18.75,73.75,571
PUNEFFTP,FFTP,18.75,74,571
PUNEEOFM,EOFM,18.75,74.25,571
PUNENGXS,NGXS,18.75,74.5,603
BIDPIGR,PIGR,18.75,75,603
BIDLHNJ,LHNJ,18.75,75.25,603
BIDYZEG,YZEG,18.75,75.5,603
OSMADVZA,DVZA,18.75,75.5,603
BIDKKOG,KKOG,18.75,75.75,603
OSMAMYMS,MYMS,18.75,75.75,603
BIDGNKF,GNKF,18.75,76,546
OSMAAYNZ,AYNZ,18.75,76,546
BIDPVGQ,PVGQ,18.75,76.25,546
BIDRCQV,RCQV,18.75,76.5,546
LATURKFI,RKFI,18.75,76.5,546
PARBTIEL,TIEL,18.75,76.5,546
BIDYFBM,YFBM,18.75,76.75,546
LATUSILB,SILB,18.75,76.75,546
PARBJLTY,JLTY,18.75,76.75,546
LATULSBM,LSBM,18.75,77,546
NANDTKGV,TKGV,18.75,77,546
PARBFVYF,FVYF,18.75,77,546
LATULCVI,LCVI,18.75,77.25,588
NANDNVAF,NVAF,18.75,77.25,588
NANDZCCW,ZCCW,18.75,77.5,588
NANDAMWL,AMWL,18.75,77.75,374
NANDEDGJ,EDGJ,18.75,78,374
PUNELPWX,LPWX,19,73.5,251
PUNEXIMK,XIMK,19,73.75,571
PUNEQILN,QILN,19,74,571
PUNEVEQO,VEQO,19,74.25,571
BIDFYRV,FYRV,19,74.75,603
BIDGQTR,GQTR,19,75,603
BIDAVVW,AVVW,19,75.25,603
BIDXXUP,XXUP,19,75.5,603
BIDARQZ,ARQZ,19,75.75,603
BIDXAWE,XAWE,19,76,546
BIDNCVA,NCVA,19,76.25,546
PARBNIPJ,NIPJ,19,76.25,546
BIDWYLU,WYLU,19,76.5,546
PARBKVJF,KVJF,19,76.5,546
PARBJUJH,JUJH,19,76.75,546
HINGYNAV,YNAV,19,77,405
NANDSSFM,SSFM,19,77,405
PARBIDZF,IDZF,19,77,405
HINGYOHE,YOHE,19,77.25,439
NANDTLOX,TLOX,19,77.25,439
NANDYRMH,YRMH,19,77.5,439
NANDZHKB,ZHKB,19,77.75,374
NANDQQFC,QQFC,19,78,374
PUNEACXF,ACXF,19.25,73.5,251
PUNEORSM,ORSM,19.25,73.75,571
PUNENXZQ,NXZQ,19.25,74,603
PUNENXUD,NXUD,19.25,74.25,603
BIDFFYY,FFYY,19.25,75,603
BIDVXSU,VXSU,19.25,75.25,603
BIDVLJO,VLJO,19.25,75.5,603
BIDZJDZ,ZJDZ,19.25,75.75,603
BIDMUDF,MUDF,19.25,76,546
BIDSESE,SESE,19.25,76.25,546
PARBFOIK,FOIK,19.25,76.25,546
BIDAMTH,AMTH,19.25,76.5,546
PARBSYQW,SYQW,19.25,76.5,546
PARBWMYX,WMYX,19.25,76.75,546
HINGRDRK,RDRK,19.25,77,405
PARBHNGN,HNGN,19.25,77,405
HINGUFPU,UFPU,19.25,77.25,439
NANDQXWX,QXWX,19.25,77.25,439
HINGHHLJ,HHLJ,19.25,77.5,439
NANDXLZE,XLZE,19.25,77.5,439
NANDBMKX,BMKX,19.25,77.75,439
NANDSALK,SALK,19.25,78,374
NANDKGLW,KGLW,19.25,78.25,374
NASHPJCO,PJCO,19.5,73.5,94
NASHXCXO,XCXO,19.5,73.75,572
PUNEAHCS,AHCS,19.5,73.75,572
PUNEPPBD,PPBD,19.5,74,603
AURAFMVZ,FMVZ,19.5,75,603
AURABMJQ,BMJQ,19.5,75.25,603
AURAXXRJ,XXRJ,19.5,75.5,603
BIDEZYN,EZYN,19.5,75.5,603
AURAZTUB,ZTUB,19.5,75.75,603
BIDMASO,MASO,19.5,75.75,603
BIDXOZH,XOZH,19.5,76,422
PARBWHEC,WHEC,19.5,76.25,546
PARBTVOJ,TVOJ,19.5,76.5,439
HINGBWNP,BWNP,19.5,76.75,439
PARBSGUC,SGUC,19.5,76.75,439
HINGRWPP,RWPP,19.5,77,439
PARBOYCJ,OYCJ,19.5,77,439
HINGYOJI,YOJI,19.5,77.25,439
HINGWXPD,WXPD,19.5,77.5,439
NANDEBPA,EBPA,19.5,77.5,439
NANDVSUI,VSUI,19.5,77.75,439
YAVABPMF,BPMF,19.5,77.75,439
NANDNEFE,NEFE,19.5,78,374
YAVAAVSE,AVSE,19.5,78,374
NANDLGJJ,LGJJ,19.5,78.25,374
YAVADFQU,DFQU,19.5,78.25,374
CHANTCWO,TCWO,19.5,79,285
CHANUZZU,UZZU,19.5,79.25,237
CHANVGEZ,VGEZ,19.5,79.5,237
CHANZLMI,ZLMI,19.5,79.75,237
NASHCUCD,CUCD,19.75,73.5,94
NASHOUUO,OUUO,19.75,73.75,572
NASHEETM,EETM,19.75,74,603
NASHUDCA,UDCA,19.75,74.25,603
AURANMJD,NMJD,19.75,74.5,603
NASHKDOB,KDOB,19.75,74.5,603
AURAJOMG,JOMG,19.75,74.75,603
AURABJRR,BJRR,19.75,75,603
AURAKXLN,KXLN,19.75,75.25,603
AURANNSV,NNSV,19.75,75.5,422
AURAZTWF,ZTWF,19.75,75.75,422
BULDTABN,TABN,19.75,76,422
BULDEFVQ,EFVQ,19.75,76.25,475
BULDJEJR,JEJR,19.75,76.5,475
PARBHCGS,HCGS,19.75,76.5,475
BULDTEPQ,TEPQ,19.75,76.75,475
HINGRNKP,RNKP,19.75,76.75,475
PARBBNGG,BNGG,19.75,76.75,475
WASHHPMC,HPMC,19.75,76.75,475
HINGCRDC,CRDC,19.75,77,475
PARBSMXG,SMXG,19.75,77,475
HINGNDCZ,NDCZ,19.75,77.25,439
YAVAWXUP,WXUP,19.75,77.25,439
HINGTFSZ,TFSZ,19.75,77.5,439
NANDMULF,MULF,19.75,77.5,439
YAVABCXB,BCXB,19.75,77.5,439
NANDGJWA,GJWA,19.75,77.75,439
YAVAFKXC,FKXC,19.75,77.75,439
NANDQEDW,QEDW,19.75,78,374
YAVAFCRD,FCRD,19.75,78,374
NANDRZDZ,RZDZ,19.75,78.25,374
YAVAKNQL,KNQL,19.75,78.25,374
YAVASWYS,SWYS,19.75,78.5,374
CHANEBPB,EBPB,19.75,78.75,305
YAVACINV,CINV,19.75,78.75,305
CHANBCMF,BCMF,19.75,79,237
YAVAABYM,ABYM,19.75,79,237
CHANOYAF,OYAF,19.75,79.25,237
YAVADYWC,DYWC,19.75,79.25,237
CHANHNIC,HNIC,19.75,79.5,237
CHANIVXQ,IVXQ,19.75,79.75,237
NASHVEVY,VEVY,20,73.25,194
NASHVDJD,VDJD,20,73.5,194
NASHBRHF,BRHF,20,73.75,572
NASHVDHD,VDHD,20,74,572
NASHFQHT,FQHT,20,74.25,572
NASHVNTB,VNTB,20,74.5,603
AURAPYXZ,PYXZ,20,74.75,603
NASHEXIU,EXIU,20,74.75,603
AURAYQTX,YQTX,20,75,603
AURAMDNE,MDNE,20,75.25,422
AURAKDNO,KDNO,20,75.5,422
AURAEFRZ,EFRZ,20,75.75,422
BULDSZGP,SZGP,20,76,422
BULDOHPR,OHPR,20,76.25,475
BULDPUFS,PUFS,20,76.5,475
WASHHUFS,HUFS,20,76.5,475
BULDFGJD,FGJD,20,76.75,475
HINGOTYA,OTYA,20,76.75,475
WASHVHPR,VHPR,20,76.75,475
HINGPSGQ,PSGQ,20,77,475
WASHSQDO,SQDO,20,77,475
HINGHRFC,HRFC,20,77.25,439
WASHERIK,ERIK,20,77.25,439
YAVAAOJV,AOJV,20,77.25,439
WASHXWIX,XWIX,20,77.5,439
YAVACMWI,CMWI,20,77.5,439
WASHWQJP,WQJP,20,77.75,413
YAVACJAQ,CJAQ,20,77.75,413
NANDMJZH,MJZH,20,78,413
YAVAVQQH,VQQH,20,78,413
NANDWNXU,WNXU,20,78.25,374
YAVAXLLC,XLLC,20,78.25,374
YAVAMSDZ,MSDZ,20,78.5,374
YAVAEBIT,EBIT,20,78.75,305
CHANPXDM,PXDM,20,79,305
YAVABNKF,BNKF,20,79,305
CHANSBOU,SBOU,20,79.25,237
YAVAUSSG,USSG,20,79.25,237
CHANSDOI,SDOI,20,79.5,237
CHANFKTS,FKTS,20,79.75,237
CHANUERZ,UERZ,20,80,237
NASHZOQX,ZOQX,20.25,73.25,194
NASHWQCQ,WQCQ,20.25,73.5,194
NASHFHGH,FHGH,20.25,73.75,453
NASHXLON,XLON,20.25,74,572
NASHBPLQ,BPLQ,20.25,74.25,572
NASHWEDL,WEDL,20.25,74.5,572
AURAWTWL,WTWL,20.25,74.75,572
JALGAGWQ,AGWQ,20.25,74.75,572
NASHHVIE,HVIE,20.25,74.75,572
AURARHZF,RHZF,20.25,75,422
JALGHIPJ,HIPJ,20.25,75,422
NASHLDNY,LDNY,20.25,75,422
AURAHKYI,HKYI,20.25,75.25,422
JALGJZJN,JZJN,20.25,75.25,422
AURAIAIJ,IAIJ,20.25,75.5,422
AURADLIT,DLIT,20.25,75.75,422
BULDGRWA,GRWA,20.25,76,422
BULDYSST,YSST,20.25,76.25,475
BULDGCBE,GCBE,20.25,76.5,475
AKOLHHPT,HHPT,20.25,76.75,475
BULDMAZR,MAZR,20.25,76.75,475
WASHXIAV,XIAV,20.25,76.75,475
AKOLHTWA,HTWA,20.25,77,367
WASHPDCU,PDCU,20.25,77,367
WASHJOJF,JOJF,20.25,77.25,367
WASHAVVQ,AVVQ,20.25,77.5,413
YAVATZIN,TZIN,20.25,77.5,413
WASHBMNY,BMNY,20.25,77.75,413
YAVAIXRD,IXRD,20.25,77.75,413
YAVAWWDE,WWDE,20.25,78,413
YAVAQTXE,QTXE,20.25,78.25,305
YAVAOCVS,OCVS,20.25,78.5,305
CHANAQHZ,AQHZ,20.25,78.75,305
WARDPWTC,PWTC,20.25,78.75,305
YAVAKOKO,KOKO,20.25,78.75,305
CHANJVKX,JVKX,20.25,79,237
YAVAHQIZ,HQIZ,20.25,79,237
CHANFDWI,FDWI,20.25,79.25,237
CHANXQIC,XQIC,20.25,79.5,237
CHANNAFW,NAFW,20.25,79.75,237
CHANYCFM,YCFM,20.25,80,237
NASHWMGQ,WMGQ,20.5,73.5,133
NASHBRKY,BRKY,20.5,73.75,133
NASHFIPD,FIPD,20.5,74,660
NASHMZLM,MZLM,20.5,74.25,572
NASHJBLS,JBLS,20.5,74.5,572
JALGIPRS,IPRS,20.5,74.75,572
NASHCGBE,CGBE,20.5,74.75,572
AURACTSC,CTSC,20.5,75,286
JALGYFNY,YFNY,20.5,75,286
AURARUGH,RUGH,20.5,75.25,422
JALGMUCE,MUCE,20.5,75.25,422
AURAXCJJ,XCJJ,20.5,75.5,422
JALGHHDB,HHDB,20.5,75.5,422
AURAXMLW,XMLW,20.5,75.75,422
JALGLJJP,LJJP,20.5,75.75,422
AURAFFNW,FFNW,20.5,76,422
BULDGTCW,GTCW,20.5,76,422
JALGPRUR,PRUR,20.5,76,422
BULDBXGG,BXGG,20.5,76.25,422
BULDYXAW,YXAW,20.5,76.5,475
AKOLFAEI,FAEI,20.5,76.75,475
BULDRFMC,RFMC,20.5,76.75,475
AKOLPSJR,PSJR,20.5,77,367
WASHHMJX,HMJX,20.5,77,367
AKOLSCPN,SCPN,20.5,77.25,367
WASHCXZK,CXZK,20.5,77.25,367
AKOLQUHE,QUHE,20.5,77.5,367
WASHBIYV,BIYV,20.5,77.5,367
YAVAWFEL,WFEL,20.5,77.5,367
AMRAXRSJ,XRSJ,20.5,77.75,367
WASHFCXN,FCXN,20.5,77.75,367
YAVAULIX,ULIX,20.5,77.75,367
AMRAQHUZ,QHUZ,20.5,78,364
YAVAGKTN,GKTN,20.5,78,364
WARDSOAI,SOAI,20.5,78.25,364
YAVAHUEE,HUEE,20.5,78.25,364
WARDLRXA,LRXA,20.5,78.5,277
YAVAPEPC,PEPC,20.5,78.5,277
CHANKCZK,KCZK,20.5,78.75,277
WARDUBXF,UBXF,20.5,78.75,277
YAVAJGPA,JGPA,20.5,78.75,277
CHANKNFS,KNFS,20.5,79,237
WARDVWBU,VWBU,20.5,79,237
CHANTVZX,TVZX,20.5,79.25,237
NAGPPZGQ,PZGQ,20.5,79.25,237
WARDEMBT,EMBT,20.5,79.25,237
CHANNMXI,NMXI,20.5,79.5,237
CHANIVHF,IVHF,20.5,79.75,237
CHANBZGT,BZGT,20.5,80,237
NASHJVXI,JVXI,20.75,73.5,133
NASHWUBF,WUBF,20.75,73.75,133
DHULEIYE,EIYE,20.75,74,660
NASHPCRQ,PCRQ,20.75,74,660
DHULACTF,ACTF,20.75,74.25,660
NASHNYPJ,NYPJ,20.75,74.25,660
DHULGBSC,GBSC,20.75,74.5,326
NASHEFVT,EFVT,20.75,74.5,326
DHULTSXZ,TSXZ,20.75,74.75,326
JALGMAXN,MAXN,20.75,74.75,326
NASHCEKN,CEKN,20.75,74.75,326
DHULKPVN,KPVN,20.75,75,326
JALGCPBE,CPBE,20.75,75,326
JALGNVPF,NVPF,20.75,75.25,326
AURAXWNU,XWNU,20.75,75.5,286
JALGWIZO,WIZO,20.75,75.5,286
AURAIGOK,IGOK,20.75,75.75,422
JALGVQQJ,VQQJ,20.75,75.75,422
BULDJBMD,JBMD,20.75,76,422
JALGFPZN,FPZN,20.75,76,422
BULDCNDO,CNDO,20.75,76.25,475
BULDDZHV,DZHV,20.75,76.5,475
AKOLCHMB,CHMB,20.75,76.75,475
BULDABIT,ABIT,20.75,76.75,475
AKOLFUCU,FUCU,20.75,77,367
AKOLYEJI,YEJI,20.75,77.25,367
AMRAIJAP,IJAP,20.75,77.25,367
AKOLVXXZ,VXXZ,20.75,77.5,367
AMRAYNZM,YNZM,20.75,77.5,367
WASHUCOY,UCOY,20.75,77.5,367
AMRATEXD,TEXD,20.75,77.75,367
WASHVGVO,VGVO,20.75,77.75,367
AMRASDPV,SDPV,20.75,78,364
YAVAOTKQ,OTKQ,20.75,78,364
AMRAYZEI,YZEI,20.75,78.25,364
WARDIBFN,IBFN,20.75,78.25,364
YAVACOUY,COUY,20.75,78.25,364
WARDMVMT,MVMT,20.75,78.5,364
NAGPFBAW,FBAW,20.75,78.75,277
WARDAPNX,APNX,20.75,78.75,277
NAGPIWAR,IWAR,20.75,79,338
WARDRGCV,RGCV,20.75,79,338
CHANJWKM,JWKM,20.75,79.25,338
NAGPGLGE,GLGE,20.75,79.25,338
WARDBIDP,BIDP,20.75,79.25,338
CHANPQND,PQND,20.75,79.5,237
NAGPVVKB,VVKB,20.75,79.5,237
CHANYBKM,YBKM,20.75,79.75,266
CHANWAEI,WAEI,20.75,80,266
DHULXWOQ,XWOQ,21,73.75,281
NANDRERZ,RERZ,21,73.75,281
DHULPHQN,PHQN,21,74,281
NANDTRBT,TRBT,21,74,281
DHULBRQN,BRQN,21,74.25,281
DHULHORY,HORY,21,74.5,326
DHULYLSI,YLSI,21,74.75,326
JALGBEFQ,BEFQ,21,74.75,326
DHULQINS,QINS,21,75,326
JALGAUVD,AUVD,21,75,326
JALGXKMI,XKMI,21,75.25,326
JALGVSQK,VSQK,21,75.5,286
JALGWQJU,WQJU,21,75.75,286
BULDTMKP,TMKP,21,76,286
JALGIIRM,IIRM,21,76,286
BULDSAZT,SAZT,21,76.25,475
JALGNYTQ,NYTQ,21,76.25,475
BULDJLBI,JLBI,21,76.5,368
JALGNTMD,NTMD,21,76.5,368
AKOLUJYO,UJYO,21,76.75,368
BULDUXKA,UXKA,21,76.75,368
AKOLGOMB,GOMB,21,77,367
AKOLGBYV,GBYV,21,77.25,367
AMRANIAS,NIAS,21,77.25,367
AKOLCUMS,CUMS,21,77.5,367
AMRAOZLZ,OZLZ,21,77.5,367
AMRASOQD,SOQD,21,77.75,367
AMRAFEJP,FEJP,21,78,364
AMRAAFTG,AFTG,21,78.25,364
WARDVQHY,VQHY,21,78.25,364
NAGPXESJ,XESJ,21,78.5,364
WARDWKBC,WKBC,21,78.5,364
NAGPVORS,VORS,21,78.75,338
WARDUGLW,UGLW,21,78.75,338
NAGPFGCA,FGCA,21,79,338
NAGPOYXL,OYXL,21,79.25,338
NAGPTMPS,TMPS,21,79.5,338
NAGPNDJI,NDJI,21,79.75,266
NANDUWBW,UWBW,21.25,73.5,67
NANDCZFH,CZFH,21.25,73.75,67
DHULYDCE,YDCE,21.25,74,67
NANDSAOQ,SAOQ,21.25,74,67
DHULOTBN,OTBN,21.25,74.25,281
NANDXOGX,XOGX,21.25,74.25,281
DHULVDBB,VDBB,21.25,74.5,326
NANDIHOP,IHOP,21.25,74.5,326
DHULRELY,RELY,21.25,74.75,326
DHULAHKL,AHKL,21.25,75,326
JALGYUAY,YUAY,21.25,75,326
DHULMQXW,MQXW,21.25,75.25,326
JALGQJYU,QJYU,21.25,75.25,326
JALGUQFD,UQFD,21.25,75.5,326
JALGLUIJ,LUIJ,21.25,75.75,353
JALGPIAK,PIAK,21.25,76,286
JALGWAXM,WAXM,21.25,76.25,368
AMRABPWH,BPWH,21.25,76.5,368
BULDHXIX,HXIX,21.25,76.5,368
AKOLQVVE,QVVE,21.25,76.75,368
AMRATWCL,TWCL,21.25,76.75,368
BULDNBPI,NBPI,21.25,76.75,368
AKOLIFOX,IFOX,21.25,77,368
AMRASHFK,SHFK,21.25,77,368
AKOLQFBC,QFBC,21.25,77.25,367
AMRABYGE,BYGE,21.25,77.25,367
AMRARVJR,RVJR,21.25,77.5,367
AMRATXSZ,TXSZ,21.25,77.75,550
AMRAJHSN,JHSN,21.25,78,550
WARDCESB,CESB,21.25,78,550
AMRADTGC,DTGC,21.25,78.25,364
NAGPQSAM,QSAM,21.25,78.25,364
WARDICHH,ICHH,21.25,78.25,364
NAGPYVSK,YVSK,21.25,78.5,364
WARDCNRI,CNRI,21.25,78.5,364
NAGPBYXP,BYXP,21.25,78.75,338
NAGPMVEZ,MVEZ,21.25,79,338
NAGPPVPW,PVPW,21.25,79.25,338
NAGPISZB,ISZB,21.25,79.5,338
NANDNAZL,NAZL,21.5,73.75,57
NANDBPZW,BPZW,21.5,74,236
NANDXCEI,XCEI,21.5,74.25,236
DHULEOLL,EOLL,21.5,74.5,281
NANDQEOJ,QEOJ,21.5,74.5,281
DHULFJYA,FJYA,21.5,74.75,326
NANDVUSB,VUSB,21.5,74.75,326
DHULILCA,ILCA,21.5,75,353
DHULNGZL,NGZL,21.5,75.25,353
JALGFCSO,FCSO,21.5,75.25,353
JALGKFBX,KFBX,21.5,75.5,353
JALGITTT,ITTT,21.5,75.75,353
JALGBYLD,BYLD,21.5,76,353
AMRADREM,DREM,21.5,76.75,368
AMRAFGPE,FGPE,21.5,77,368
AMRALCUV,LCUV,21.5,77.25,312
AMRACKFO,CKFO,21.5,77.5,364
AMRAYUEB,YUEB,21.5,77.75,550
AMRABAJE,BAJE,21.5,78,550
AMRAJVKT,JVKT,21.5,78.25,550
NAGPDHWX,DHWX,21.5,78.25,550
AMRAWPMI,WPMI,21.5,78.5,550
NAGPBUGX,BUGX,21.5,78.5,550
NAGPRDLF,RDLF,21.5,78.75,588
NAGPXNHP,XNHP,21.5,79,588
NAGPZWQW,ZWQW,21.5,79.25,588
NAGPXJLH,XJLH,21.5,79.5,338
NANDPKFG,PKFG,21.75,73.75,57
NANDRJRK,RJRK,21.75,74,236
NANDQJTR,QJTR,21.75,74.25,236
NANDMWQE,MWQE,21.75,74.5,485
DHULULBQ,ULBQ,21.75,74.75,353
NANDLDPV,LDPV,21.75,74.75,353
DHULBLXA,BLXA,21.75,75,353
